id,original,base_time,base,small_time,small,medium_time,medium,large_time,large
27,마찰음의 개수가 많지 않다. 아/ 또 어려운 표현 나왔죠. 이해해 보세요 여러분. 마찰음이 뭐냐 하면요 여러분 교재의 날개에 자세히 나와 있어요. 자/ 날개에 보니까 발음할 때 입안이나 목청 따위에 조음기관 이걸 쉬운 말로요 발음기관입니다. 발.,3.50100112,"마차름의 개수가 많지 않다. 또 어려운 표현 나왔죠. 이해해 보세요, 여러분. 마차름이 뭐냐 하면 여러분 교재에 날개 자세히 나와 있어요. 날개해 보니까 발음할 때 이반이나 목청 따위에 좋은 기간, 이거 쉬운 말로요. 발음 기간입니다.",9.831031322,"마찰음의 개수가 많지 않다. 또 어려운 표현 나왔죠. 이해해 보세요 여러분. 마찰음이 뭐냐면요. 여러분 교제에 날개의 자세가 나와 있어요. 날개에 보니까 발음할 때 입안이나 목청 따위에 좋은 기간, 이거 쉬운 말로요. 발음기관입니다.",27.07070732,마찰음의 개수가 많지 않다. 또 어려운 표현 나왔죠. 이해해 보세요 여러분. 마찰음이 뭐냐면요. 여러분 교제에 날개 자세히 나와 있어요. 날개 보니까 발음할 때 입안이나 목청 따위에 좋은 기관. 이거 쉬운 말로요. 발음 기관입니다.,49.98372054,"마찰음의 개수가 많지 않다... 또 어려운 표현 나왔죠? 이해해보세요 여러분 마찰음이 뭐냐 하면요 여러분 교재에 날개 자세히 나와 있어요 날개 보니까 발음할 때 입안이나 목청 따위에 조음기관, 이거 쉬운 말로요 발음기관입니다"
28,발음하는 이+ 기관이 좁아진 상태.,1.718997717,발음하는 이 기관이 좁아진 상태.,5.17419219,발음하는 이 기관이 좁아진 상태죠,15.38904667,발음하는 이 기관이 좁아진 상태,29.80462527,발음하는 이 기관이 좁아진 상태죠.
29,갑자기 엄청 유연해졌는데. 예 부딪히겠죠 자/ 부딪히면 피 히는 걸 우리는 마찰한다고 해요. 그래서 그.,2.116021633,갑자기 엄청 유연해졌는데 부딪치겠죠. 부딪치는 걸 우리는 마찰한다고 해요. 그래서 그,6.167134285,갑자기 엄청 유연해졌는데 부딪히겠죠? 부딪히는 걸 우리는 마찰한다고 해요 그래서,18.76960969,갑자기 엄청 유연해졌는데? 부딪히겠죠? 부딪히는 걸 우리는 마찰한다고 해요. 그래서,34.60635996,갑자기 엄청 유연해졌는데? 부딪히겠죠? 부딪히는 걸 우리는 마찰한다고 해요. 그래서
30,그 사이를 좁은 사이를 공기가 비집고 나오면서 마찰하면서 내는 소리 그걸 우리는 마찰음이라고 하고요 국어에서는 (이)/(요) 쓰.,2.393999338,"그 사이를 좁은 사이를 공기가 비찍고 나오면서 마찰하면서 내는 소리, 그걸 우리는 마찰음이라고 하고요. 그거에서는요.",6.607000589,그 사이를 좁은 사이를 공기가 비짓고 나오면서 마찰하면서 내는 소리 그걸 우리는 마찰음이라고 하고요. 그거에서는요.,19.58056664,"그 사이를, 좁은 사이를 공기가 비짚고 나오면서 마찰하면서 내는 소리 그걸 우리는 마찰음이라고 하고요 국어에서는요",36.1405654,그 사이를 좁은 사이를 공기가 비집고 나오면서 마찰하면서 내는 소리 그걸 우리는 마찰음이라고 하고요 국어에서는요
31,끌리는 소리 들리시죠 자/ 시옷과 (짝꿍인)/(짝궁인).,1.79899621,끌리는 소리 들리시죠? 시우가 짝고긴,5.619093895,"끌리는 소리 들리시죠? 자, 시우가 짝꿍인",16.81801057,"끌리는 소리 들리시죠? 자, 씨오가 짝꿍인",30.59869432,끌리는 소리 들리시죠? 시우가 짝꿍인
32,끌 끊는 소리가 있습니다. 그래서 시옷.,1.774010658,끊는 소리가 있습니다. 그래서 쉬웠...,5.293523073,끊는 소리가 있습니다. 그래서 쇼!,15.71332407,끊는 소리가 있습니다. 그래서 쉬었...,29.35904312,끊는 소리가 있습니다. 그래서 쇼...
33,쌍시옷과 히읗 이렇게 세 가지밖에 없습니다 국어에서요. 어/.,1.911510706,쌍은 쉬 옷과 희 이렇게 3가지 밖에 없습니다. 구거에서는요.,5.778999567,쌍쇼과 히트 이렇게 세 가지밖에 없습니다. 그거에서는요.,17.75152564,쌍쇼와 희읗 이렇게 세 가지밖에 없습니다. 국어에서는요.,32.72844028,상시옷과 히읗 이렇게 세가지 밖에 없습니다. 국어에서는요.
34,왜냐하면 다른 나라 언어에서는 이+ 이+ 이외에도요 너무나 많은 마찰음이 있어요.,1.88301158,왜냐하면 다른 나라 언어에서는 이 이외에도 너무너무 많은 마차름이 있어요,5.718552589,왜냐하면 다른 나라 언어에서는 이 이외에도 너무너무 많은 마찰음이 있어요.,17.1710248,왜냐하면 다른 나라 언어에서는요 이 이외에도요 너무나 많은 마찰음이 있어요,31.6675303,왜냐하면 다른 나라 언어에서는 이 외에도 너무나 많은 마찰음이 있어요.
35,마찰음이 발달돼 있어요. 그래서 우리는요 영어의 마찰음을요 그대로 국어 소리로 다 표기할.,2.087040901,마찬음이 발달 돼 있어요. 그래서 우리는 영어에 마찬음을 그대로 구거소리로 다 표기,6.398028135,마찰음이 발달되어 있어요. 그래서 우리는 영어에 마찰음을 그대로 구거 소리로 다 표기할 수 있습니다.,18.62367725,마찰음이 발달되어 있어요 그래서 우리는요 영어의 마찰음을 그대로 국어소리로 다 표기,34.43694448,마찰음이 발달되어 있어요. 그래서 우리는 영어의 마찰음을 그대로 국어소리로 다 표기합니다.
36,보실까요 예를 들어서요 다른 언어의 마찰음인.,1.849000216,보실까요? 예를 들어서요. 다른 언어의 맛차름인,5.48902297,보실까요? 예를 들어서요. 다른 언어의 마찰음인,16.81984329,보실까요? 예를 들어서요. 다른 언어의 마찰음인,30.33207035,보실까요? 예를 들어서요 다른 언어의 맞차름인
37,이프 프 소리. 아/ 선생님 영어+ 영어만 나오면 좀 자신감이 어+ 줄어드네요. 이브.,1.920001507,"이 F 소리, 선생님 영어만 나오면 자신감이 줄어드네요. 이 F.",16.93308592,이 푸으으으으으으으으으으으으으으으으으으으으으으으으으으으으으으으으으으으으으으으으으으으으으으으으으으으으으으으으으으으으으으으으으으으으으으으으으으으으으으으으으으으으으으으으으으으으으으으으으으으으으으으으으으으으으으으으으으으으으으으으으으으으으으으으으으으으으으으으으으으으으으으으으으으으으으으으으으으으으으으으으으으으으으으으으으으으으으으으으으으으으으으으으으으으으으으으으으으으으으으으으으으으으으으으으으으으으으으으으으으으,17.04499817,"이 F 소리, 선생님 영어만 나오면 좀 자신감이 줄어드네요. 이 V",31.7854445,"이 F 소리, 선생님 영어만 나오면 좀 자신감이 줄어드네요. 이 V."
38,자/ 이 번데기 소리라고 하자. 쓰.,1.719004154,이 뻔데기 소리가 나지 않지 않지?,5.378177166,이 뻔데기 소리라고 하자 쓰!,15.41610575,자 이 번데기 소리라고 하자.,29.69019628,"자, 이 번데기 소리라고 하죠?"
39,어/ 뜨 얘네들이요 다 마찰음 소리입니다. 그런데 우리는요 마찰음의 개수가 적다 보니까 이거 다 표기할 수 없어요. 자/ 이걸 표기할 수 있는 마찰음이 국어에는 없다.,2.574314594,예를 들여 다 마찬을 노립니다. 그런데 우리는 마차름의 개수가 적다 보니까 이거 다 표기할 수 없어요. 이걸 표기할 수 있는 마차름이 구간 없다.,7.622714281,드르르! 예를 들려 다 마찬을 소리입니다. 그런데 우리는 마찰음이 개수가 적다 보니까 이거 다 표기할 수 없어요. 이걸 표기할 수 있는 마찰음이 그거에는 없다.,21.41219091,얘네들 다 마찰음 소리입니다. 그런데 우리는 마찰음이 개수가 적다 보니까 이거 다 표기할 수 없어요. 이걸 표기할 수 있는 마찰음이 국어에는 없다.,38.3095808,얘네들 다 마찰음 소리입니다. 그런데 우리는 마찰음의 개수가 적다 보니까 이걸 다 표기할 수 없어요. 이걸 표기할 수 있는 마찰음이 국어에는 없다
40,정해서 우리 국어 음운의 특징 뭐다 어/ 마찰음의 개수가.,1.950999975,"우리 구가 의문의 특징, 뭐다? 마찬음의 개수가?",5.564546108,우리 구거음은의 특징 뭐다? 어 마찬음의 개수가?,16.36989379,우리 국어 의문의 특징 뭐다? 마찬음의 개수가?,31.80568385,"우리 국어 의문의 특징 뭐다? 어, 마찬음의 개수가?"
41,지 않다. (적다는)/(적다라는) 거 확인할 수가 있겠네요.,1.745000362,지한타 적다라는 거 확인할 수가 있겠네요.,5.189003229,지 않다 적다 라는 거 확인할 수가 있겠네요,15.91076612,"그렇지 않다, 적다 라는 거 확인할 수가 있겠네요.",29.62623358,않다 적다라는 거 확인할 수가 있겠네요
42,준다 했는데 뭐 시옷+ 쌍시옷 예 이거 선생님이 보충이라기보다는 요 날개 옆에 이렇게 자세히 나와 있을 겁니다 여러분. 날개 나와 있네요 이거 체크해 두세요. 국.,2.461000443,"그런데 시오성시오, 이거 스미 보충이라기보다는 날개 옆에 이렇게 자세히 나와 있을 겁니다. 여러분 날개 나와 있네요. 이거 체크해 주세요.",7.183010101,했는데 뭐 쇼쌍쇼 디에 이거 세미 보충이라기보다는요 날개 옆에 이렇게 자세히 나와 있을 겁니다 여러분 날개 나와있네요 이거 체크해 주세요,20.6430428,뭐 시오 쌍시오 디에 이거 세미 보충이라기 보다는요 날개 옆에 이렇게 자세히 나와 있을 겁니다 여러분 날개 나와 있네요 이거 체크해 주세요,36.3719008,했는데 뭐 시오상시오 이거 세미 보충이라기 보다는요 날개 옆에 이렇게 자세히 나와 있을 겁니다 여러분 날개 나와 있네요 이거 체크해 주세요
43,국어의 마찰음은 이 세 가지다.,1.693509817,구구의 마차름은 이 세 가지다.,5.136000156,그거의 마찰음은 이 세 가지다.,15.46402383,국어에 마찰음은 이 세 가지다,29.52661085,국어의 마찰음은 이 세 가지다.
44,자/ 이때 에프 이 소리 마찰음입니다.,1.626009226,이때 F2 소리 마차름입니다.,5.086532831,자 이때 F 2소리 마찰음입니다,14.95760965,자 이때 F2 소리 마찰음입니다,28.61159372,자 이때 F2소리 마찰음 입니다.
45,이 소리예요 이 소리.,1.628015518,이 소리예요. 이 소리.,4.995008707,이 소리예요. 이 소리.,15.33405256,이 소리예요. 이 소리.,28.05058408,이 소리예요. 이 소리.
46,이것도 마찰음이에요. 근데 우리말에서는 이+ 이런 소리가 사실 없어요. 그래서 파더 뭐 이렇게 좀 어색하게 어/ 소위 말했을 때 우리 영어 하면 막/ 몸이 오그라들어 이렇게 얘기하는 거가 바로 없는 소리를 내려다가 내려고 보니까 그런 거라고 생각하시면 되겠습니다.,3.018509626,이것도 마찬음이에요. 근데 우리 말에서 이런 소리가 사실 없어요. 그래서 이렇게 어색하게 소위 말했을 때 우리 영어화면 몸이 오그라들어 이렇게 얘기하는 거가 바로 없는 소리를 내려다 보니까 그런 거라고 생각하시면 되겠습니다.,8.494685411,"이것도 마찬음이에요. 근데 우리말에서는요. 이런 소리가 사실 없어요. 그래서 Fa, No 이렇게 좀 어색하게 소위 말했을 때 우리 영어하면 막 몸이 오그라들어 이렇게 얘기하는 거가 바로 없는 소리를 내려다 보니까 그런 거라고 생각하시면 되겠습니다.",24.31129622,"이것도 마찰음이에요. 근데 우리말에서는요 이런 소리가 사실 없어요. 그래서 F, D 이렇게 좀 어색하게 소위 말했을 때 우리 영어하면 막 몸이 오그라들어 이렇게 얘기하는 거가 바로 없는 소리를 내려고 보니까 그런 거라고 생각하시면 되겠습니다.",44.68329859,"이것도 마찰음이에요. 근데 우리말에서는요 이런 소리가 사실 없어요. 그래서 fa, le 이렇게 좀 어색하게 소위 말했을 때 우리 영어하면 막 몸이 오그라들어 이렇게 얘기하는 거가 바로 없는 소리를 내려고 보니까 그런 거라고 생각하시면 되겠습니다."
47,국어 음운의 특징 세 번째 국.,1.716026783,그거 의문의 특징 3번째.,5.069000006,구거 의문의 특징 3번째,15.76659679,국어 의문의 특징! 세번째,28.38287807,3. 국어 의문의 특징
48,국어의 음절 첫소리 이거 소리로 얘기할 때요 그 음절의 제일 처음에 나오는 음절 첫소리에 올 수 있는 자음의 개수는 최대 몇 개이다 자/ 여러.,2.585000992,"그거래 음절 첫소리, 이거 소리로 얘기할 때요. 그 음절에 제일 처음에 나오는 음절 첫소리에 올 수 있는 다음에 개수는 최대 몇 개이다. 여러분.",6.860010386,"그거에 음절 첫 소리, 이거 소리로 얘기할 때 그 음절에 제일 처음에 나오는 음절 첫 소리에 올 수 있는 자음의 개수는 최대 몇 개이다.",20.41576457,"국어에 음절 첫소리, 이거 소리로 얘기할 때요. 그 음절에 제일 처음에 나오는 음절 첫소리에 올 수 있는 자음의 개수는 최대 몇 개이다.",33.33593869,그 음절의 제일 처음에 나오는 음절 첫소리에 올 수 있는 자음의 개수는 최대 몇 개이다?
49,여러분 교재에 줄글로 다 돼 있는데 선생님이 이렇게.,1.782984257,그런 교들에 줄글로 다 돼 있는데 선생님 이렇게.,5.205034733,그럼 교질이 줄굴로 다 되어 있는데 선생님 이렇게,15.33270788,그럼 교제 줄글로 다 되어 있는데 선생님 이렇게,28.79390669,여러분 교재 줄글로 다 돼 있는데 선생님 이렇게
50,아/ 여러분 칠 이거 아니죠 어/ 음절 첫소리 일곱 개 자음 오면 말이 안 돼요. 자/ 음/.,1.884056807,여러분 7 이거 아니죠? 음절 첫소리 7개 자워면 말이 안 돼요.,5.386668444,여러분 7 이거 아니죠 음절 첫 소리 7개 잡으면 말이 안 돼요,16.79104495,"여러분, 7, 이거 아니죠? 음절 첫 소리 7개 잡아보면 말이 안 돼요.",29.94580054,여러분 7 이거 아니죠 음절 첫소리 7개 잡으면 말이 안 돼요
51,절 올 수 있는 건 딱 하나입니다.,1.575051308,우리의 수는 딱 하나입니다.,4.849129915,올 수 있는 건 딱 하나입니다.,15.31505156,어려울 수 있는 건 딱 하나입니다.,28.34471941,올 수 있는 건 딱 하나입니다.
52,국어 때 쌀을 나타내는 표현 이렇게 썼어요.,1.721000433,그곳에 쌀을 나타내는 표현 이렇게 썼어요.,5.269043922,한국어때 쌀을 나타내는 표현 이렇게 썼어요,15.68810964,한국어때 쌀을 나타내는 표현 이렇게 썼어요,29.78895712,한국어 때 쌀을 나타내는 표현 이렇게 썼어요.
53,비읍 소리의 브와 시옷 소리를 같이 냈다는 기록도 있습니다. 그래서 읍 스 읍.,2.014001131,비흡소리를 무와 쉬어 소리를 같이 냈다는 기록도 있습니다. 쑤쑤,6.286800623,"비읍 소리 B와 시오 소리를 같이 냈다는 기록도 있습니다. 그래서 읍스, 읍스, 읍스",16.13306236,ㅂ 소리와 ㅅ 소리를 같이 냈다는 기록도 있습니다.,30.89176273,ㅂ소리의 ㅂ와 ㅅ소리를 같이 냈다는 기록도 있습니다.
54,모르겠어요 어떻게 소리 냈는지. 그러나 현대 국어에는요 적어도 현대 국어에는 국어 음절의 첫소리는요 하나만 올 수 있어요.,2.421000719,모르겠어요. 어떻게 소리냈는지. 그러나 현대국어에는 저거도 현대국어에는 구거 음절의 첫소리에는 하나만 올 수 있어요.,6.618015289,모르겠어요 어떻게 소리를 했는지 그러나 현대국어에는 적어도 현대국어에는 국어 음절의 첫 소리에는 하나만 올 수 있어요,20.10744214,모르겠어요 어떻게 소리를 냈는지 그러나 현대국어에는요 적어도 현대국어에는 국어 음절의 첫 소리에는요 하나만 올 수 있어요,38.36405706,모르겠어요 어떻게 소리를 했는지 그러나 현대국어에는요 적어도 현대국어에는 국어 음절의 첫 소리에는요 하나만 올 수 있어요
55,하나만. 그래서 이걸 뭐라고 얘기할 수 있냐면요 같은 말로 현대 국어에는.,2.009999275,하나만. 이걸 뭐라고 얘기할 수 있냐면요. 같은 말로 현대국어에는,5.840023994,하나만. 이걸 뭐라고 얘기할 수 있냐면요. 같은 말로 현대국어에는,17.18605852,하나만. 이걸 뭐라고 얘기할 수 있냐면요 같은 말로 현대국어에는,32.02828479,하나만 이걸 뭐라고 얘기할 수 있냐면요 같은 말로 현대국어에는
56,들어 두세요 일단 적어만 두세요. 저.,1.669999123,들어주세요. 일단 적어만 주세요.,5.118035316,들어주세요. 일단 저거만 주세요.,14.97502708,일단 저것만 두세요,28.83752894,들어 두세요. 일단 저것만 두세요.
57,어두에 음절 첫소리에 자.,1.680000305,"어두워, 은절 첫 소리에 자아",5.153999567,어두의 음절 첫 소리에 자아,15.45503092,어두워 음절 첫소리에 자아가,28.81770086,어두워 음절 첫소리에
